ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,117,23,22,2003-07-01
2,0,120,23,22,2003-10-01
3,0,120,23,22,2004-01-01
4,66,140,28,24,2004-04-01
5,66,140,28,24,2004-07-01
6,66,141,28,24,2004-10-01
7,0,110,22,21,2003-04-01
8,71,184,35,26,2006-01-01
9,66,141,28,24,2005-01-01
10,71,184,35,26,2005-04-01
11,71,184,35,26,2005-07-01
12,71,184,35,26,2005-10-01
13,71,168,35,26,2006-04-01
14,71,168,35,26,2008-04-01
15,71,168,35,26,2008-07-01
16,71,168,35,26,2008-10-01
17,71,168,35,26,2006-07-01
18,71,168,35,26,2006-10-01
19,71,168,35,26,2007-01-01
20,71,168,35,26,2007-04-01
21,71,168,35,26,2007-07-01
22,71,168,35,26,2007-10-01
23,71,168,35,26,2008-01-01
