ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,42,60,17,19,2003-07-01
2,42,60,17,19,2003-10-01
3,42,60,17,19,2004-01-01
4,42,72,21,19,2004-04-01
5,42,72,21,19,2004-07-01
6,42,72,21,19,2004-10-01
7,42,60,17,19,2003-04-01
8,71,73,21,19,2006-01-01
9,42,72,21,19,2005-01-01
10,42,72,21,19,2005-04-01
11,71,73,21,19,2005-07-01
12,71,73,21,19,2005-10-01
13,71,73,21,19,2006-04-01
14,68,80,22,20,2008-04-01
15,68,80,22,20,2008-07-01
16,68,80,22,20,2008-10-01
17,71,73,21,19,2006-07-01
18,71,73,21,19,2006-10-01
19,71,73,21,19,2007-01-01
20,71,73,21,19,2007-04-01
21,71,73,21,19,2007-07-01
22,71,73,21,19,2007-10-01
23,71,73,21,19,2008-01-01
