ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,41,26,5,16,2003-07-01
2,44,50,10,18,2003-10-01
3,44,51,10,18,2004-01-01
4,38,65,17,19,2004-04-01
5,38,74,20,19,2004-07-01
6,38,74,20,19,2004-10-01
7,41,26,5,16,2003-04-01
8,53,84,20,19,2006-01-01
9,38,74,20,19,2005-01-01
10,38,83,20,19,2005-04-01
11,53,84,20,19,2005-07-01
12,53,84,20,19,2005-10-01
13,53,84,20,19,2006-04-01
14,53,82,20,19,2008-04-01
15,53,82,20,19,2008-07-01
16,53,82,20,19,2008-10-01
17,53,84,20,19,2006-07-01
18,53,84,20,19,2006-10-01
19,53,84,20,19,2007-01-01
20,53,84,20,19,2007-04-01
21,53,84,20,19,2007-07-01
22,53,84,20,19,2007-10-01
23,53,82,20,19,2008-01-01
