ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,30,37,9,17,2003-07-01
2,30,37,9,17,2003-10-01
3,30,37,9,17,2004-01-01
4,38,49,11,18,2004-04-01
5,38,49,11,18,2004-07-01
6,38,49,11,18,2004-10-01
7,30,37,9,17,2003-04-01
8,54,54,11,18,2006-01-01
9,38,49,11,18,2005-01-01
10,38,53,11,18,2005-04-01
11,54,54,11,18,2005-07-01
12,54,54,11,18,2005-10-01
13,54,54,11,18,2006-04-01
14,62,67,15,18,2008-04-01
15,62,67,15,18,2008-07-01
16,62,67,15,18,2008-10-01
17,54,54,11,18,2006-07-01
18,54,54,11,18,2006-10-01
19,62,64,15,18,2007-01-01
20,62,64,15,18,2007-04-01
21,62,66,15,18,2007-07-01
22,62,67,15,18,2007-10-01
23,62,67,15,18,2008-01-01
