ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,41,25,5,16,2003-07-01
2,41,25,5,16,2003-10-01
3,41,25,5,16,2004-01-01
4,33,42,9,17,2004-04-01
5,33,42,9,17,2004-07-01
6,33,42,9,17,2004-10-01
7,41,25,5,16,2003-04-01
8,60,64,14,17,2006-01-01
9,33,45,11,17,2005-01-01
10,53,63,14,17,2005-04-01
11,60,64,14,17,2005-07-01
12,60,64,14,17,2005-10-01
13,60,64,14,17,2006-04-01
14,60,62,14,17,2008-04-01
15,60,62,14,17,2008-07-01
16,60,62,14,17,2008-10-01
17,60,64,14,17,2006-07-01
18,60,64,14,17,2006-10-01
19,60,64,14,17,2007-01-01
20,60,62,14,17,2007-04-01
21,60,62,14,17,2007-07-01
22,60,62,14,17,2007-10-01
23,60,62,14,17,2008-01-01
