ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,33,30,6,15,2003-07-01
2,33,30,6,15,2003-10-01
3,33,30,6,15,2004-01-01
4,33,31,6,15,2004-04-01
5,33,31,6,15,2004-07-01
6,33,31,6,15,2004-10-01
7,33,30,6,15,2003-04-01
8,46,33,6,15,2006-01-01
9,33,31,6,15,2005-01-01
10,33,32,6,15,2005-04-01
11,46,33,6,15,2005-07-01
12,46,33,6,15,2005-10-01
13,46,33,6,15,2006-04-01
14,60,82,21,20,2008-04-01
15,60,82,21,20,2008-07-01
16,60,82,21,20,2008-10-01
17,46,33,6,15,2006-07-01
18,46,33,6,15,2006-10-01
19,46,33,6,15,2007-01-01
20,46,33,6,15,2007-04-01
21,60,82,21,20,2007-07-01
22,60,82,21,20,2007-10-01
23,60,82,21,20,2008-01-01
