ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,27,70,17,23,2003-07-01
2,27,70,17,23,2003-10-01
3,27,70,17,23,2004-01-01
4,30,120,31,25,2004-04-01
5,30,120,31,25,2004-07-01
6,30,120,31,25,2004-10-01
7,27,70,17,23,2003-04-01
8,65,121,31,25,2006-01-01
9,30,120,31,25,2005-01-01
10,30,120,31,25,2005-04-01
11,65,121,31,25,2005-07-01
12,65,121,31,25,2005-10-01
13,65,121,31,25,2006-04-01
14,62,151,39,28,2008-04-01
15,62,151,39,28,2008-07-01
16,62,151,39,28,2008-10-01
17,65,121,31,25,2006-07-01
18,65,121,31,25,2006-10-01
19,65,121,31,25,2007-01-01
20,65,121,31,25,2007-04-01
21,65,121,31,25,2007-07-01
22,62,151,39,28,2007-10-01
23,62,151,39,28,2008-01-01
