ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,74,16,14,2003-07-01
2,0,74,16,14,2003-10-01
3,0,74,16,14,2004-01-01
4,0,74,16,14,2004-04-01
5,0,74,16,14,2004-07-01
6,0,74,16,14,2004-10-01
7,0,74,16,14,2003-04-01
8,25,81,19,16,2006-01-01
9,0,74,16,14,2005-01-01
10,25,80,19,16,2005-04-01
11,25,81,19,16,2005-07-01
12,25,81,19,16,2005-10-01
13,25,81,19,16,2006-04-01
14,25,81,19,16,2008-04-01
15,25,81,19,16,2008-07-01
16,25,81,19,16,2008-10-01
17,25,81,19,16,2006-07-01
18,25,81,19,16,2006-10-01
19,25,81,19,16,2007-01-01
20,25,81,19,16,2007-04-01
21,25,81,19,16,2007-07-01
22,25,81,19,16,2007-10-01
23,25,81,19,16,2008-01-01
