ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,29,4,15,2003-07-01
2,0,45,6,16,2003-10-01
3,0,45,6,16,2004-01-01
4,0,45,6,16,2004-04-01
5,0,47,6,16,2004-07-01
6,0,47,6,16,2004-10-01
7,0,29,4,15,2003-04-01
8,0,80,10,18,2006-01-01
9,0,49,6,16,2005-01-01
10,0,49,6,16,2005-04-01
11,0,49,6,16,2005-07-01
12,0,80,10,18,2005-10-01
13,0,80,10,18,2006-04-01
14,87,216,26,28,2008-04-01
15,87,216,26,28,2008-07-01
16,87,216,26,28,2008-10-01
17,0,80,10,18,2006-07-01
18,0,80,10,18,2006-10-01
19,0,88,11,19,2007-01-01
20,93,200,24,27,2007-07-01
21,93,200,24,27,2007-10-01
22,87,216,26,28,2008-01-01
