ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,81,136,27,45,2003-07-01
2,81,139,28,46,2003-10-01
3,81,139,28,46,2004-01-01
4,81,134,27,46,2004-04-01
5,81,134,27,46,2004-07-01
6,81,134,27,46,2004-10-01
7,81,136,27,44,2003-04-01
8,84,144,31,48,2006-01-01
9,81,142,31,48,2005-01-01
10,81,142,31,48,2005-04-01
11,84,144,31,48,2005-07-01
12,84,144,31,48,2005-10-01
13,84,144,31,48,2006-04-01
14,87,159,34,52,2008-04-01
15,87,159,34,52,2008-07-01
16,87,159,34,52,2008-10-01
17,84,144,31,48,2006-07-01
18,87,159,34,52,2006-10-01
19,87,159,34,52,2007-01-01
20,87,159,34,52,2007-04-01
21,87,159,34,52,2007-07-01
22,87,159,34,52,2007-10-01
23,87,159,34,52,2008-01-01
