ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,91,357,81,66,2003-07-01
2,91,378,87,69,2003-10-01
3,91,378,87,69,2004-01-01
4,91,371,87,69,2004-04-01
5,91,369,87,75,2004-07-01
6,91,369,87,76,2004-10-01
7,91,354,80,66,2003-04-01
8,91,387,88,78,2006-01-01
9,91,406,98,83,2005-01-01
10,91,373,88,76,2005-04-01
11,91,387,88,78,2005-07-01
12,91,387,88,78,2005-10-01
13,91,387,88,78,2006-04-01
14,91,387,88,78,2008-04-01
15,91,387,88,78,2008-07-01
16,91,387,88,78,2008-10-01
17,91,387,88,78,2006-07-01
18,91,387,88,78,2006-10-01
19,91,387,88,78,2007-01-01
20,91,387,88,78,2007-04-01
21,91,387,88,78,2007-07-01
22,91,387,88,78,2007-10-01
23,91,387,88,78,2008-01-01
