ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,13,87,22,42,2003-07-01
2,12,90,23,43,2003-10-01
3,12,90,23,43,2004-01-01
4,12,90,23,43,2004-04-01
5,12,90,23,43,2004-07-01
6,12,90,23,43,2004-10-01
7,13,87,22,41,2003-04-01
8,56,92,23,45,2006-01-01
9,12,90,23,45,2005-01-01
10,12,90,23,45,2005-04-01
11,56,92,23,45,2005-07-01
12,56,92,23,45,2005-10-01
13,56,92,23,45,2006-04-01
14,58,94,24,47,2008-04-01
15,58,94,24,47,2008-07-01
16,58,94,24,47,2008-10-01
17,56,92,23,45,2006-07-01
18,58,94,24,47,2006-10-01
19,58,94,24,47,2007-01-01
20,58,94,24,47,2007-04-01
21,58,94,24,47,2007-07-01
22,58,94,24,47,2007-10-01
23,58,94,24,47,2008-01-01
