ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,58,131,27,44,2003-07-01
2,60,140,29,46,2003-10-01
3,60,140,29,46,2004-01-01
4,60,140,29,46,2004-04-01
5,60,140,29,46,2004-07-01
6,60,140,29,46,2004-10-01
7,58,131,27,43,2003-04-01
8,68,157,35,48,2006-01-01
9,60,155,35,48,2005-01-01
10,60,155,35,48,2005-04-01
11,68,157,35,48,2005-07-01
12,68,157,35,48,2005-10-01
13,68,157,35,48,2006-04-01
14,77,171,38,52,2008-04-01
15,78,175,39,53,2008-07-01
16,78,175,39,53,2008-10-01
17,68,157,35,48,2006-07-01
18,77,171,38,52,2006-10-01
19,77,171,38,52,2007-01-01
20,77,171,38,52,2007-04-01
21,77,171,38,52,2007-07-01
22,77,171,38,52,2007-10-01
23,77,171,38,52,2008-01-01
