ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,39,177,39,46,2003-07-01
2,37,183,40,47,2003-10-01
3,37,183,40,47,2004-01-01
4,37,182,40,47,2004-04-01
5,37,182,40,47,2004-07-01
6,37,182,40,47,2004-10-01
7,39,177,39,45,2003-04-01
8,58,190,40,49,2006-01-01
9,37,182,40,49,2005-01-01
10,37,186,40,49,2005-04-01
11,58,190,40,49,2005-07-01
12,58,190,40,49,2005-10-01
13,58,190,40,49,2006-04-01
14,73,207,44,53,2008-04-01
15,73,212,45,53,2008-07-01
16,74,215,46,54,2008-10-01
17,58,190,40,49,2006-07-01
18,73,207,44,53,2006-10-01
19,73,207,44,53,2007-01-01
20,73,207,44,53,2007-04-01
21,73,207,44,53,2007-07-01
22,73,207,44,53,2007-10-01
23,73,207,44,53,2008-01-01
