ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,75,25,6,15,2003-07-01
2,75,25,6,15,2003-10-01
3,75,25,6,15,2004-01-01
4,65,40,11,17,2004-04-01
5,65,40,11,17,2004-07-01
6,65,40,11,17,2004-10-01
7,72,44,11,17,2006-01-01
8,65,40,11,17,2005-01-01
9,65,40,11,17,2005-04-01
10,72,44,11,17,2005-07-01
11,72,44,11,17,2005-10-01
12,72,44,11,17,2006-04-01
13,72,44,11,17,2008-04-01
14,72,44,11,17,2008-07-01
15,72,44,11,17,2008-10-01
16,72,44,11,17,2006-07-01
17,72,44,11,17,2006-10-01
18,72,44,11,17,2007-01-01
19,72,44,11,17,2007-04-01
20,72,44,11,17,2007-07-01
21,72,44,11,17,2007-10-01
22,72,44,11,17,2008-01-01
