ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,56,62,13,20,2003-07-01
2,56,62,13,20,2003-10-01
3,56,62,13,20,2004-01-01
4,50,73,21,21,2004-04-01
5,50,76,22,21,2004-07-01
6,50,76,22,21,2004-10-01
7,56,62,13,20,2003-04-01
8,66,77,22,21,2006-01-01
9,50,76,22,21,2005-01-01
10,50,76,22,21,2005-04-01
11,66,77,22,21,2005-07-01
12,66,77,22,21,2005-10-01
13,66,77,22,21,2006-04-01
14,66,77,22,21,2008-04-01
15,66,77,22,21,2008-07-01
16,66,77,22,21,2008-10-01
17,66,77,22,21,2006-07-01
18,66,77,22,21,2006-10-01
19,66,77,22,21,2007-01-01
20,66,77,22,21,2007-04-01
21,66,77,22,21,2007-07-01
22,66,77,22,21,2007-10-01
23,66,77,22,21,2008-01-01
