ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,63,239,45,47,2003-07-01
2,63,245,46,48,2003-10-01
3,63,245,46,48,2004-01-01
4,63,242,46,48,2004-04-01
5,63,245,48,48,2004-07-01
6,63,245,48,48,2004-10-01
7,63,239,45,46,2003-04-01
8,72,243,49,50,2006-01-01
9,65,233,49,50,2005-01-01
10,65,233,49,50,2005-04-01
11,72,243,49,50,2005-07-01
12,72,243,49,50,2005-10-01
13,72,243,49,50,2006-04-01
14,77,273,56,55,2008-04-01
15,77,273,56,55,2008-07-01
16,77,273,56,55,2008-10-01
17,72,248,50,50,2006-07-01
18,76,271,54,54,2006-10-01
19,76,271,54,54,2007-01-01
20,76,271,54,54,2007-04-01
21,76,271,54,54,2007-07-01
22,77,273,56,55,2007-10-01
23,77,273,56,55,2008-01-01
