ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,80,14,25,2003-07-01
2,0,88,15,26,2003-10-01
3,0,88,15,26,2004-01-01
4,0,88,15,26,2004-04-01
5,0,90,15,26,2004-07-01
6,0,90,15,26,2004-10-01
7,0,80,14,25,2003-04-01
8,0,94,16,27,2006-01-01
9,0,90,15,26,2005-01-01
10,0,94,16,27,2005-04-01
11,0,94,16,27,2005-07-01
12,0,94,16,27,2005-10-01
13,0,94,16,27,2006-04-01
14,0,204,30,37,2008-04-01
15,0,204,30,37,2008-07-01
16,0,204,30,37,2008-10-01
17,0,94,16,27,2006-07-01
18,0,196,30,37,2006-10-01
19,0,196,30,37,2007-01-01
20,0,196,30,37,2007-07-01
21,0,204,30,37,2007-10-01
22,0,204,30,37,2008-01-01
