ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,80,105,17,25,2003-07-01
2,82,113,18,26,2003-10-01
3,82,113,18,26,2004-01-01
4,82,113,18,26,2004-04-01
5,82,115,18,26,2004-07-01
6,82,115,18,26,2004-10-01
7,80,105,17,25,2003-04-01
8,83,119,19,27,2006-01-01
9,82,115,18,26,2005-01-01
10,83,119,19,27,2005-04-01
11,83,119,19,27,2005-07-01
12,83,119,19,27,2005-10-01
13,84,137,22,28,2006-04-01
14,90,245,36,38,2008-04-01
15,90,245,36,38,2008-07-01
16,90,245,36,38,2008-10-01
17,84,137,22,28,2006-07-01
18,90,237,36,38,2006-10-01
19,90,237,36,38,2007-01-01
20,90,237,36,38,2007-07-01
21,90,245,36,38,2007-10-01
22,90,245,36,38,2008-01-01
