ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,19,40,9,40,2003-07-01
2,19,40,9,40,2003-10-01
3,19,40,9,40,2004-01-01
4,19,40,9,40,2004-04-01
5,19,40,9,40,2004-07-01
6,19,40,9,40,2004-10-01
7,19,40,9,40,2003-04-01
8,19,40,9,40,2006-01-01
9,19,40,9,40,2005-01-01
10,19,40,9,40,2005-04-01
11,19,40,9,40,2005-07-01
12,19,40,9,40,2005-10-01
13,19,40,9,40,2006-04-01
14,19,40,9,40,2008-04-01
15,19,40,9,40,2008-07-01
16,19,40,9,40,2008-10-01
17,19,40,9,40,2006-07-01
18,19,40,9,40,2006-10-01
19,19,40,9,40,2007-01-01
20,19,40,9,40,2007-04-01
21,19,40,9,40,2007-07-01
22,19,40,9,40,2007-10-01
23,19,40,9,40,2008-01-01
