ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,46,47,9,34,2003-07-01
2,46,47,9,34,2003-10-01
3,46,47,9,34,2004-01-01
4,46,47,9,34,2004-04-01
5,46,47,9,34,2004-07-01
6,46,47,9,34,2004-10-01
7,46,47,9,34,2003-04-01
8,46,50,9,34,2006-01-01
9,46,47,9,34,2005-01-01
10,46,47,9,34,2005-04-01
11,46,50,9,34,2005-07-01
12,46,50,9,34,2005-10-01
13,46,50,9,34,2006-04-01
14,46,50,9,34,2008-04-01
15,46,50,9,34,2008-07-01
16,46,50,9,34,2008-10-01
17,46,50,9,34,2006-07-01
18,46,50,9,34,2006-10-01
19,46,50,9,34,2007-01-01
20,46,50,9,34,2007-04-01
21,46,50,9,34,2007-07-01
22,46,50,9,34,2007-10-01
23,46,50,9,34,2008-01-01
