ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,57,54,11,36,2003-07-01
2,57,54,11,36,2003-10-01
3,57,54,11,36,2004-01-01
4,57,54,11,36,2004-04-01
5,57,54,11,36,2004-07-01
6,57,54,11,36,2004-10-01
7,44,48,9,34,2003-04-01
8,53,56,11,36,2006-01-01
9,57,54,11,36,2005-01-01
10,53,56,11,36,2005-04-01
11,53,56,11,36,2005-07-01
12,53,56,11,36,2005-10-01
13,53,56,11,36,2006-04-01
14,53,56,11,36,2008-04-01
15,53,56,11,36,2008-07-01
16,53,56,11,36,2008-10-01
17,53,56,11,36,2006-07-01
18,53,56,11,36,2006-10-01
19,53,56,11,36,2007-01-01
20,53,56,11,36,2007-04-01
21,53,56,11,36,2007-07-01
22,53,56,11,36,2007-10-01
23,53,56,11,36,2008-01-01
