ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,16,33,10,35,2003-07-01
2,16,33,10,35,2003-10-01
3,16,33,10,35,2004-01-01
4,16,33,10,35,2004-04-01
5,16,33,10,35,2004-07-01
6,16,33,10,35,2004-10-01
7,16,33,10,35,2003-04-01
8,16,34,10,35,2006-01-01
9,16,33,10,35,2005-01-01
10,16,34,10,35,2005-04-01
11,16,34,10,35,2005-07-01
12,16,34,10,35,2005-10-01
13,16,34,10,35,2006-04-01
14,16,34,10,35,2008-04-01
15,16,34,10,35,2008-07-01
16,16,34,10,35,2008-10-01
17,16,34,10,35,2006-07-01
18,16,34,10,35,2006-10-01
19,16,34,10,35,2007-01-01
20,16,34,10,35,2007-04-01
21,16,34,10,35,2007-07-01
22,16,34,10,35,2007-10-01
23,16,34,10,35,2008-01-01
