ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,44,9,35,2003-07-01
2,50,44,9,35,2003-10-01
3,50,53,11,35,2004-01-01
4,50,53,11,35,2004-04-01
5,50,53,11,35,2004-07-01
6,50,53,11,35,2004-10-01
7,50,44,9,35,2003-04-01
8,50,53,11,35,2006-01-01
9,50,53,11,35,2005-01-01
10,50,53,11,35,2005-04-01
11,50,53,11,35,2005-07-01
12,50,53,11,35,2005-10-01
13,50,53,11,35,2006-04-01
14,50,53,11,35,2008-04-01
15,50,53,11,35,2008-07-01
16,50,53,11,35,2008-10-01
17,50,53,11,35,2006-07-01
18,50,53,11,35,2006-10-01
19,50,53,11,35,2007-01-01
20,50,53,11,35,2007-04-01
21,50,53,11,35,2007-07-01
22,50,53,11,35,2007-10-01
23,50,53,11,35,2008-01-01
