FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.chart.annotations.CategoryAnnotation.csv,0.0,NaN,4.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.annotations.CategoryTextAnnotation.csv,59.0,59.0,106.0,105.0,22.0,22.0,40.0,40.0,
org.jfree.chart.annotations.TextAnnotation.csv,81.0,81.0,123.0,126.0,30.0,30.0,29.0,29.0,
org.jfree.chart.annotations.XYAnnotation.csv,0.0,NaN,6.0,6.0,1.0,NaN,1.0,NaN,
org.jfree.chart.annotations.XYDrawableAnnotation.csv,47.0,36.0,105.0,93.0,17.0,15.0,27.0,26.0,
org.jfree.chart.annotations.XYLineAnnotation.csv,53.0,53.0,133.0,130.0,23.0,22.0,29.0,29.0,
org.jfree.chart.annotations.XYPointerAnnotation.csv,82.0,82.0,205.0,207.0,38.0,38.0,67.0,67.0,
org.jfree.chart.annotations.XYTextAnnotation.csv,84.0,84.0,189.0,188.0,42.0,42.0,44.0,44.0,
org.jfree.chart.axis.Axis.csv,95.0,94.0,556.0,515.0,125.0,114.0,76.0,69.0,
org.jfree.chart.axis.AxisLocation.csv,69.0,69.0,71.0,71.0,18.0,18.0,18.0,18.0,
org.jfree.chart.axis.AxisSpace.csv,49.0,49.0,181.0,181.0,44.0,44.0,31.0,31.0,
org.jfree.chart.axis.CategoryAnchor.csv,70.0,70.0,41.0,41.0,10.0,10.0,16.0,16.0,
org.jfree.chart.axis.CategoryAxis.csv,91.0,91.0,644.0,639.0,127.0,124.0,125.0,118.0,
org.jfree.chart.axis.CategoryAxis3D.csv,100.0,100.0,86.0,86.0,15.0,15.0,130.0,123.0,
org.jfree.chart.axis.ColorBar.csv,79.0,79.0,212.0,212.0,40.0,40.0,29.0,29.0,
org.jfree.chart.axis.DateAxis.csv,92.0,93.0,1039.0,960.0,161.0,151.0,197.0,189.0,
org.jfree.chart.axis.DateAxis.DefaultTimeline.csv,0.0,NaN,35.0,35.0,11.0,11.0,20.0,20.0,
org.jfree.chart.axis.DateTickMarkPosition.csv,70.0,70.0,41.0,41.0,10.0,10.0,16.0,16.0,
org.jfree.chart.axis.DateTickUnit.csv,85.0,85.0,153.0,157.0,40.0,40.0,39.0,40.0,
org.jfree.chart.axis.junit.AxisPackageTests.csv,0.0,NaN,47.0,46.0,3.0,3.0,15.0,15.0,
org.jfree.chart.axis.junit.DateAxisTests.csv,0.0,NaN,749.0,734.0,27.0,27.0,37.0,37.0,
org.jfree.chart.axis.junit.DateTickUnitTests.csv,0.0,NaN,39.0,39.0,6.0,6.0,17.0,17.0,
org.jfree.chart.axis.LogarithmicAxis.csv,86.0,86.0,547.0,551.0,114.0,115.0,212.0,204.0,
org.jfree.chart.axis.MarkerAxisBand.csv,50.0,50.0,122.0,122.0,18.0,18.0,19.0,19.0,
