Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,AbstractCategoryItemRenderer.java,2,2,3,1,21,1,11,7,,,,1,0,0,,40,40,12,40,,0,1,5,34,,1033,127,506,200,280,400,,,244,337,162,175,,,,,14,14,14,5,,2,,0.79,92,92,101,44,2004-04-01
File,AbstractCategoryItemRendererTests.java,3,3,3,1,32,2,26,3,,,,1,1,0,,3,2,0,3,,0,0,0,3,,158,15,89,16,61,54,,,57,67,16,51,,,,,4,4,4,1,,1,,0.61,9,9,9,3,2004-04-01
File,AbstractDataset.java,1,1,1,1,10,0,4,6,,,,1,0,0,,11,11,2,11,,0,2,3,6,,217,26,60,27,21,134,,,29,43,25,18,,,,,3,3,3,1,,2,,2.23,13,13,13,11,2004-04-01
File,AbstractRenderer.java,2,2,2,1,15,0,7,7,,,,1,0,10,,136,136,33,136,,0,2,4,130,,2472,282,1046,299,581,1144,,,462,711,283,428,,,,,26,26,34,4,,2,,1.09,249,249,279,139,2004-04-01
File,AbstractRendererTests.java,2,2,2,1,49,9,34,7,,,,1,1,0,,4,3,0,4,,0,0,0,4,,275,46,158,32,124,73,,,128,135,32,103,,,,,3,3,3,1,,1,,0.46,6,6,6,4,2004-04-01
File,AbstractSeriesDataset.java,1,1,1,1,7,0,2,5,,,,1,0,0,,4,4,0,4,,0,0,1,3,,91,8,15,10,2,68,,,6,9,7,2,,,,,1,1,1,1,,0,,4.53,4,4,4,4,2004-04-01
File,AbstractSeriesRenderer.java,2,2,2,1,14,0,6,7,,,,1,0,0,,130,130,31,130,,0,2,2,126,,2207,261,868,269,455,1078,,,402,615,256,359,,,,,12,12,33,4,,2,,1.24,213,213,242,133,2004-04-01
File,AbstractXYItemLabelGenerator.java,3,3,3,2,18,1,10,6,,,,1,0,2,,11,11,5,11,,0,0,1,10,,290,38,128,42,67,124,,,59,88,36,52,,,,,9,9,9,9,,2,,0.97,28,28,28,19,2004-04-01
File,AbstractXYItemRenderer.java,3,3,3,1,23,1,13,8,,,,1,0,0,,34,34,8,34,,0,2,4,28,,975,111,498,217,275,366,,,234,320,158,162,,,,,11,11,12,7,,3,,0.73,89,89,91,46,2004-04-01
File,AnnotationsPackageTests.java,1,1,1,1,11,0,6,5,,,,1,1,0,,2,1,0,2,,0,0,0,2,,81,7,19,8,9,55,,,13,16,8,8,,,,,1,1,1,1,,0,,2.89,2,2,2,2,2004-04-01
File,AreaChartDemo.java,1,1,1,1,34,6,21,10,,,,1,1,0,,3,2,0,3,,0,1,0,2,,194,27,88,41,57,87,,,64,68,37,31,,,,,1,1,1,1,,0,,0.99,3,3,3,3,2004-04-01
File,AreaRenderer.java,5,5,5,1,43,4,30,8,,,,1,0,0,,3,3,0,3,,0,0,0,3,,220,21,110,53,66,89,,,65,81,43,38,,,,,13,13,13,1,,4,,0.81,15,15,15,3,2004-04-01
File,AreaRendererTests.java,1,1,1,1,12,0,8,3,,,,1,1,0,,6,5,0,6,,0,0,0,6,,144,16,62,31,33,66,,,40,49,31,18,,,,,2,2,2,1,,1,,1.06,8,8,8,6,2004-04-01
File,AreaXYRenderer.java,3,3,4,1,26,1,16,8,,,,2,0,5,,12,12,6,12,,0,0,0,12,,471,53,242,97,138,178,,,119,162,71,91,,,,,25,25,28,1,,3,,0.74,41,41,44,12,2004-04-01
File,ArrowNeedle.java,3,3,4,2,26,2,17,7,,,,1,0,0,,3,3,1,3,,0,0,1,2,,143,14,62,20,37,67,,,36,46,20,26,,,,,4,4,6,4,,1,,1.08,9,9,12,6,2004-04-01
File,Axis.java,2,2,2,1,16,1,7,7,,,,1,0,1,,55,55,21,55,,0,2,5,48,,1119,159,484,183,268,476,,,254,347,161,186,,,,,8,8,22,4,,2,,0.98,96,96,116,58,2004-04-01
File,AxisChangeEvent.java,1,1,1,1,8,0,3,5,,,,1,0,0,,2,2,1,2,,0,0,0,2,,74,7,12,6,3,55,,,6,9,6,3,,,,,1,1,1,1,,0,,4.58,2,2,2,2,2004-04-01
File,AxisChangeListener.java,1,1,1,1,6,0,1,5,,,,1,0,0,,1,1,0,1,,0,0,0,1,,66,5,5,4,0,56,,,3,4,4,0,,,,,1,1,1,1,,0,,11.2,1,1,1,1,2004-04-01
File,AxisCollection.java,2,2,2,1,11,0,6,5,,,,1,0,0,,6,6,4,6,,0,0,0,6,,137,15,47,14,20,75,,,21,34,14,20,,,,,7,7,7,1,,1,,1.6,12,12,12,6,2004-04-01
File,AxisConstants.java,0,0,0,0,0,0,0,0,,,,1,0,15,,0,0,0,0,,0,0,0,0,,108,19,24,23,15,65,,,22,23,23,0,,,,,0,0,0,0,,0,,2.71,0,0,0,0,2004-04-01
File,AxisLocation.java,3,3,3,2,18,0,11,6,,,,1,1,4,,5,4,1,5,,0,2,0,3,,170,18,70,18,41,82,,,28,46,16,30,,,,,6,6,6,5,,1,,1.17,17,17,17,12,2004-04-01
File,AxisLocationTests.java,1,1,1,1,11,0,7,3,,,,1,1,0,,5,4,0,5,,0,0,0,5,,126,14,50,26,25,62,,,34,41,26,15,,,,,2,2,2,1,,1,,1.24,6,6,6,5,2004-04-01
File,AxisPackageTests.java,1,1,1,1,17,0,12,5,,,,1,1,0,,2,1,0,2,,0,0,0,2,,95,7,31,8,21,57,,,25,28,8,20,,,,,1,1,1,1,,0,,1.84,2,2,2,2,2004-04-01
File,AxisPropertyEditPanel.java,2,2,2,1,17,1,10,5,,,,1,1,1,,19,18,16,19,,0,4,0,15,,493,75,252,83,154,166,,,162,194,78,116,,,,,6,6,6,3,,2,,0.66,33,33,33,21,2004-04-01
File,AxisSpace.java,2,2,2,1,15,0,8,6,,,,1,0,0,,20,20,4,20,,0,0,0,20,,391,34,183,36,107,174,,,64,108,36,72,,,,,9,9,9,4,,2,,0.95,43,43,46,23,2004-04-01
File,AxisSpaceTests.java,1,1,1,1,10,0,6,4,,,,1,1,0,,3,2,0,3,,0,0,0,3,,91,9,26,11,11,56,,,14,19,11,8,,,,,2,2,2,1,,1,,2.15,4,4,4,3,2004-04-01
File,AxisState.java,1,1,1,1,7,0,3,4,,,,1,0,0,,12,12,3,12,,0,0,0,12,,170,18,44,18,13,108,,,18,31,18,13,,,,,1,1,1,1,,0,,2.45,12,12,12,12,2004-04-01
File,AxisTests.java,1,1,1,1,39,5,25,8,,,,1,1,0,,4,3,0,4,,0,0,0,4,,224,31,114,20,92,79,,,100,106,20,86,,,,,2,2,2,1,,1,,0.69,5,5,5,4,2004-04-01
File,BarChart3DDemo1.java,1,1,1,1,20,3,11,7,,,,1,1,0,,4,3,0,4,,0,2,0,2,,164,22,62,29,39,88,,,32,37,27,10,,,,,1,1,1,1,,0,,1.42,4,4,4,4,2004-04-01
File,BarChart3DDemo2.java,1,1,1,1,27,4,16,9,,,,1,1,0,,3,2,0,3,,0,1,0,2,,168,21,70,33,44,85,,,49,53,31,22,,,,,1,1,1,1,,0,,1.21,3,3,3,3,2004-04-01
File,BarChart3DDemo3.java,1,1,1,1,20,3,11,7,,,,1,1,0,,4,3,0,4,,0,2,0,2,,159,22,62,30,38,83,,,41,46,29,17,,,,,1,1,1,1,,0,,1.34,4,4,4,4,2004-04-01
File,BarChart3DTests.java,1,1,1,1,15,2,8,4,,,,2,2,0,,7,5,2,7,,0,1,1,5,,199,31,82,39,45,87,,,43,53,37,16,,,,,2,2,2,1,,1,,1.06,8,8,8,7,2004-04-01
File,BarChartDemo.java,1,1,1,1,34,5,20,10,,,,1,1,0,,4,3,0,4,,0,2,0,2,,223,33,99,47,72,99,,,71,76,43,33,,,,,1,1,1,1,,0,,1,4,4,4,4,2004-04-01
File,BarChartDemo2.java,1,1,1,1,20,3,10,8,,,,1,1,0,,4,3,0,4,,0,2,0,2,,161,23,56,28,32,88,,,33,38,26,12,,,,,1,1,1,1,,0,,1.57,4,4,4,4,2004-04-01
