Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,AbstractBlock.java,1,1,1,1,10,0,4,6,,,,1,0,0,,19,19,6,19,,0,0,7,12,,307,31,89,34,37,187,,,47,68,34,34,,,,,2,2,2,1,,1,,2.1,20,20,20,19,2005-01-01
File,AbstractCategoryItemLabelGenerator.java,3,3,3,2,16,0,9,6,,,,1,0,0,,9,9,3,9,,0,0,4,5,,236,24,98,30,50,114,,,47,71,27,44,,,,,6,6,6,6,,1,,1.16,23,23,23,14,2005-01-01
File,AbstractCategoryItemRenderer.java,3,3,3,1,21,1,11,7,,,,1,0,0,,41,41,12,41,,0,1,4,36,,1071,122,541,197,299,408,,,254,360,160,200,,,,,16,16,16,13,,3,,0.75,105,105,105,57,2005-01-01
File,AbstractCategoryItemRendererTests.java,3,3,3,1,32,2,26,3,,,,1,1,0,,3,2,0,3,,0,0,0,3,,157,15,89,16,61,53,,,57,67,16,51,,,,,4,4,4,1,,1,,0.6,9,9,9,3,2005-01-01
File,AbstractDataset.java,1,1,1,1,11,0,4,6,,,,1,0,0,,11,11,2,11,,0,2,3,6,,220,26,67,28,26,130,,,30,45,25,20,,,,,3,3,3,1,,2,,1.94,14,14,14,11,2005-01-01
File,AbstractIntervalXYDataset.java,2,2,2,1,16,0,8,8,,,,1,0,0,,4,4,0,4,,0,0,0,4,,120,8,36,15,20,76,,,17,26,14,12,,,,,2,2,2,1,,1,,2.11,8,8,8,4,2005-01-01
File,AbstractPieItemLabelGenerator.java,3,3,3,2,18,0,10,7,,,,1,0,0,,8,8,3,8,,0,0,3,5,,217,20,92,29,49,105,,,44,66,27,39,,,,,6,6,6,6,,2,,1.14,21,21,21,13,2005-01-01
File,AbstractRenderer.java,2,2,2,1,15,0,7,7,,,,1,0,10,,154,154,38,154,,0,2,2,150,,2815,294,1201,279,656,1320,,,496,804,273,531,,,,,34,34,34,34,,2,,1.1,308,308,308,189,2005-01-01
File,AbstractRendererTests.java,1,1,1,1,20,2,13,4,,,,1,1,0,,15,14,0,15,,0,0,0,15,,389,57,228,59,170,106,,,166,184,59,125,,,,,3,3,3,1,,1,,0.46,17,17,17,15,2005-01-01
File,AbstractSeriesDataset.java,1,1,1,1,7,0,2,5,,,,1,0,0,,4,4,0,4,,0,0,1,3,,89,8,15,10,2,66,,,6,9,7,2,,,,,1,1,1,1,,0,,4.4,4,4,4,4,2005-01-01
