Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,AbstractBlock.java,2,2,2,1,11,0,5,6,,,,1,0,1,,36,36,7,36,,0,4,10,22,,565,49,235,78,119,281,,,114,171,74,97,,,,,9,9,9,9,,1,,1.2,56,56,56,44,2005-07-01
File,AbstractCategoryItemLabelGenerator.java,2,2,2,1,17,0,9,7,,,,1,0,1,,11,11,5,11,,0,0,4,7,,295,25,126,42,64,144,,,61,89,35,54,,,,,6,6,6,6,,2,,1.14,27,27,27,16,2005-07-01
File,AbstractCategoryItemRenderer.java,3,3,3,1,23,1,14,7,,,,1,0,1,,50,50,15,50,,0,2,4,44,,1413,141,772,263,467,500,,,314,444,198,246,,,,,16,16,16,13,,3,,0.65,129,129,129,66,2005-07-01
File,AbstractCategoryItemRendererTests.java,3,3,3,1,33,2,27,3,,,,1,1,0,,3,2,0,3,,0,0,0,3,,163,15,93,16,65,55,,,57,67,16,51,,,,,4,4,4,1,,1,,0.59,9,9,9,3,2005-07-01
File,AbstractDataset.java,1,1,1,1,12,0,4,7,,,,1,0,1,,12,12,2,12,,0,2,3,7,,249,22,77,34,31,153,,,36,52,31,21,,,,,3,3,3,1,,2,,1.99,15,15,15,12,2005-07-01
File,AbstractIntervalXYDataset.java,2,2,2,1,17,0,8,9,,,,1,0,0,,4,4,0,4,,0,0,0,4,,127,8,36,15,20,83,,,17,26,14,12,,,,,2,2,2,1,,1,,2.31,8,8,8,4,2005-07-01
File,AbstractPieItemLabelGenerator.java,3,3,3,2,19,0,10,7,,,,1,0,1,,8,8,3,8,,0,0,3,5,,229,21,97,32,52,111,,,45,67,28,39,,,,,6,6,6,6,,2,,1.14,21,21,21,13,2005-07-01
File,AbstractRenderer.java,2,2,2,1,15,0,7,7,,,,1,0,11,,151,151,44,151,,0,2,2,147,,2854,299,1276,290,705,1279,,,509,822,268,554,,,,,37,37,37,37,,2,,1,313,313,313,189,2005-07-01
File,AbstractRendererTests.java,1,1,1,1,21,2,14,4,,,,1,1,0,,15,14,0,15,,0,0,0,15,,408,57,240,60,182,113,,,166,184,59,125,,,,,3,3,3,1,,1,,0.47,17,17,17,15,2005-07-01
File,AbstractSeriesDataset.java,1,1,1,1,8,0,3,5,,,,1,0,1,,5,5,0,5,,0,0,1,4,,111,10,25,13,8,76,,,12,18,11,7,,,,,3,3,3,3,,2,,3.04,7,7,7,7,2005-07-01
File,AbstractXYAnnotation.java,2,2,2,2,12,0,6,6,,,,1,0,0,,8,8,2,8,,0,0,2,6,,181,15,65,30,25,101,,,30,44,24,20,,,,,5,5,5,5,,1,,1.55,14,14,14,14,2005-07-01
File,AbstractXYDataset.java,2,2,2,1,13,0,6,7,,,,1,0,0,,3,3,0,3,,0,0,0,3,,100,7,25,12,11,68,,,12,18,11,7,,,,,2,2,2,1,,1,,2.72,5,5,5,3,2005-07-01
File,AbstractXYItemLabelGenerator.java,2,2,2,2,17,1,9,7,,,,1,0,1,,13,13,7,13,,0,0,5,8,,333,40,143,45,74,150,,,61,91,37,54,,,,,8,8,8,8,,2,,1.05,29,29,31,20,2005-07-01
File,AbstractXYItemRenderer.java,3,3,3,1,23,1,14,8,,,,1,0,1,,50,50,14,50,,0,1,6,43,,1451,132,798,307,479,521,,,337,465,223,242,,,,,13,13,13,7,,4,,0.65,129,129,130,64,2005-07-01
File,AbstractXYItemRendererTests.java,1,1,1,1,10,0,5,4,,,,1,1,1,,5,4,0,5,,0,1,0,4,,120,13,40,23,18,67,,,28,34,23,11,,,,,1,1,1,1,,0,,1.68,5,5,5,5,2005-07-01
File,AbstractXYZDataset.java,2,2,2,1,16,0,8,8,,,,1,0,0,,1,1,0,1,,0,0,0,1,,70,5,12,6,5,53,,,5,8,5,3,,,,,2,2,2,1,,1,,4.42,2,2,2,1,2005-07-01
File,AnnotationsPackageTests.java,1,1,1,1,11,0,6,5,,,,1,2,0,,3,1,0,3,,0,0,0,3,,94,8,25,9,13,61,,,17,21,9,12,,,,,1,1,1,1,,0,,2.44,3,3,3,3,2005-07-01
File,AreaChartTests.java,1,1,1,1,13,0,9,4,,,,2,2,0,,9,7,2,9,,0,1,1,7,,220,22,112,60,62,87,,,61,73,53,20,,,,,2,2,2,1,,1,,0.78,10,10,10,9,2005-07-01
File,AreaRenderer.java,4,4,4,1,36,3,25,7,,,,1,0,1,,6,6,1,6,,0,0,0,6,,328,31,181,81,113,116,,,95,121,64,57,,,,,16,16,16,1,,4,,0.64,25,25,25,6,2005-07-01
File,AreaRendererEndType.java,3,3,3,2,15,1,8,6,,,,1,0,4,,4,4,1,4,,0,2,0,2,,144,17,48,18,28,79,,,20,31,15,16,,,,,4,4,4,4,,1,,1.65,10,10,10,7,2005-07-01
File,AreaRendererEndTypeTests.java,1,1,1,1,13,0,8,4,,,,1,1,0,,4,3,0,4,,0,0,0,4,,119,13,47,23,24,59,,,29,35,22,13,,,,,2,2,2,1,,1,,1.26,5,5,5,4,2005-07-01
File,AreaRendererTests.java,1,1,1,1,12,0,8,3,,,,1,1,0,,6,5,0,6,,0,0,0,6,,146,16,64,32,35,66,,,40,49,31,18,,,,,2,2,2,1,,1,,1.03,8,8,8,6,2005-07-01
File,Arrangement.java,1,1,1,1,8,0,1,7,,,,1,0,0,,3,3,0,3,,0,0,0,3,,86,8,10,9,0,68,,,6,7,7,0,,,,,1,1,1,1,,0,,6.8,3,3,3,3,2005-07-01
File,ArrowNeedle.java,3,3,4,2,26,2,17,7,,,,1,0,1,,3,3,1,3,,0,0,1,2,,153,15,64,22,38,74,,,37,47,21,26,,,,,4,4,6,4,,1,,1.16,9,9,12,6,2005-07-01
File,Axis.java,2,2,2,1,15,0,8,6,,,,1,0,16,,56,56,21,56,,0,2,5,49,,1200,144,560,191,319,496,,,272,381,161,220,,,,,22,22,22,22,,2,,0.89,112,112,115,77,2005-07-01
File,AxisChangeEvent.java,1,1,1,1,8,0,3,5,,,,1,0,0,,2,2,1,2,,0,0,0,2,,75,7,12,6,3,56,,,6,9,6,3,,,,,1,1,1,1,,0,,4.67,2,2,2,2,2005-07-01
File,AxisChangeListener.java,1,1,1,1,6,0,1,5,,,,1,0,0,,1,1,0,1,,0,0,0,1,,67,5,5,4,0,57,,,3,4,4,0,,,,,1,1,1,1,,0,,11.4,1,1,1,1,2005-07-01
File,AxisCollection.java,2,2,2,1,12,0,6,5,,,,1,0,0,,6,6,4,6,,0,0,0,6,,145,15,47,14,20,83,,,21,34,14,20,,,,,7,7,7,1,,1,,1.77,12,12,12,6,2005-07-01
File,AxisLocation.java,3,3,3,2,18,0,11,6,,,,1,1,5,,5,4,1,5,,0,2,0,3,,177,17,75,21,46,85,,,29,47,17,30,,,,,6,6,6,5,,1,,1.13,17,17,17,12,2005-07-01
File,AxisLocationTests.java,1,1,1,1,12,0,8,3,,,,1,1,0,,5,4,0,5,,0,0,0,5,,131,12,56,28,31,63,,,36,43,27,16,,,,,2,2,2,1,,1,,1.13,6,6,6,5,2005-07-01
