Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,Date
File,AbstractBlock.java,,39,,2008-04-01
File,AbstractBlockTests.java,,5,,2008-04-01
File,AbstractCategoryItemLabelGenerator.java,,13,,2008-04-01
File,AbstractCategoryItemRenderer.java,,52,,2008-04-01
File,AbstractCategoryItemRendererTests.java,,7,,2008-04-01
File,AbstractDataset.java,,12,,2008-04-01
File,AbstractDialLayer.java,,11,,2008-04-01
File,AbstractDialLayerTests.java,,5,,2008-04-01
File,AbstractIntervalXYDataset.java,,4,,2008-04-01
File,AbstractPieItemLabelGenerator.java,,9,,2008-04-01
File,AbstractPieLabelDistributor.java,,6,,2008-04-01
File,AbstractRenderer.java,,170,,2008-04-01
File,AbstractRendererTests.java,,24,,2008-04-01
File,AbstractSeriesDataset.java,,5,,2008-04-01
File,AbstractXYAnnotation.java,,9,,2008-04-01
File,AbstractXYDataset.java,,3,,2008-04-01
File,AbstractXYItemLabelGenerator.java,,15,,2008-04-01
File,AbstractXYItemRenderer.java,,54,,2008-04-01
File,AbstractXYItemRendererTests.java,,8,,2008-04-01
File,AbstractXYZDataset.java,,1,,2008-04-01
File,AnnotationsPackageTests.java,,3,,2008-04-01
File,ArcDialFrame.java,,25,,2008-04-01
File,ArcDialFrameTests.java,,6,,2008-04-01
File,AreaChartTests.java,,9,,2008-04-01
File,AreaRenderer.java,,7,,2008-04-01
File,AreaRendererEndType.java,,4,,2008-04-01
File,AreaRendererEndTypeTests.java,,4,,2008-04-01
File,AreaRendererTests.java,,7,,2008-04-01
File,Arrangement.java,,3,,2008-04-01
File,ArrowNeedle.java,,5,,2008-04-01
File,ArrowNeedleTests.java,,5,,2008-04-01
File,Axis.java,,56,,2008-04-01
File,AxisChangeEvent.java,,2,,2008-04-01
File,AxisChangeListener.java,,1,,2008-04-01
File,AxisCollection.java,,6,,2008-04-01
File,AxisLocation.java,,6,,2008-04-01
File,AxisLocationTests.java,,5,,2008-04-01
File,AxisPackageTests.java,,3,,2008-04-01
File,AxisSpace.java,,19,,2008-04-01
File,AxisSpaceTests.java,,5,,2008-04-01
File,AxisState.java,,13,,2008-04-01
File,AxisTests.java,,5,,2008-04-01
File,BarChart3DTests.java,,9,,2008-04-01
File,BarChartDemo1.java,,4,,2008-04-01
File,BarChartTests.java,,9,,2008-04-01
File,BarRenderer.java,,33,,2008-04-01
File,BarRenderer3D.java,,16,,2008-04-01
File,BarRenderer3DTests.java,,6,,2008-04-01
File,BarRendererTests.java,,9,,2008-04-01
File,Block.java,,7,,2008-04-01
File,BlockBorder.java,,11,,2008-04-01
File,BlockBorderTests.java,,5,,2008-04-01
File,BlockContainer.java,,14,,2008-04-01
File,BlockContainerTests.java,,5,,2008-04-01
File,BlockFrame.java,,2,,2008-04-01
File,BlockPackageTests.java,,3,,2008-04-01
File,BlockParams.java,,7,,2008-04-01
File,BlockResult.java,,3,,2008-04-01
File,BorderArrangement.java,,10,,2008-04-01
File,BorderArrangementTests.java,,7,,2008-04-01
File,BoxAndWhiskerCalculator.java,,4,,2008-04-01
File,BoxAndWhiskerCalculatorTests.java,,6,,2008-04-01
File,BoxAndWhiskerCategoryDataset.java,,18,,2008-04-01
File,BoxAndWhiskerItem.java,,13,,2008-04-01
File,BoxAndWhiskerItemTests.java,,4,,2008-04-01
File,BoxAndWhiskerRenderer.java,,19,,2008-04-01
File,BoxAndWhiskerRendererTests.java,,23,,2008-04-01
File,BoxAndWhiskerToolTipGenerator.java,,4,,2008-04-01
File,BoxAndWhiskerToolTipGeneratorTests.java,,5,,2008-04-01
File,BoxAndWhiskerXYDataset.java,,11,,2008-04-01
File,BoxAndWhiskerXYToolTipGenerator.java,,4,,2008-04-01
File,BoxAndWhiskerXYToolTipGeneratorTests.java,,5,,2008-04-01
File,BubbleXYItemLabelGenerator.java,,10,,2008-04-01
File,BubbleXYItemLabelGeneratorTests.java,,6,,2008-04-01
File,CSV.java,,6,,2008-04-01
File,CandlestickRenderer.java,,30,,2008-04-01
File,CandlestickRendererTests.java,,8,,2008-04-01
File,CategoryAnchor.java,,4,,2008-04-01
File,CategoryAnchorTests.java,,5,,2008-04-01
File,CategoryAnnotation.java,,1,,2008-04-01
File,CategoryAxis.java,,48,,2008-04-01
File,CategoryAxis3D.java,,5,,2008-04-01
File,CategoryAxis3DTests.java,,4,,2008-04-01
File,CategoryAxisTests.java,,7,,2008-04-01
File,CategoryDataset.java,,0,,2008-04-01
File,CategoryDatasetHandler.java,,5,,2008-04-01
File,CategoryItemEntity.java,,16,,2008-04-01
File,CategoryItemEntityTests.java,,5,,2008-04-01
File,CategoryItemLabelGenerator.java,,3,,2008-04-01
File,CategoryItemRenderer.java,,131,,2008-04-01
File,CategoryItemRendererState.java,,5,,2008-04-01
File,CategoryLabelEntity.java,,5,,2008-04-01
File,CategoryLabelEntityTests.java,,5,,2008-04-01
File,CategoryLabelPosition.java,,12,,2008-04-01
File,CategoryLabelPositionTests.java,,5,,2008-04-01
File,CategoryLabelPositions.java,,11,,2008-04-01
File,CategoryLabelPositionsTests.java,,5,,2008-04-01
File,CategoryLabelWidthType.java,,4,,2008-04-01
File,CategoryLabelWidthTypeTests.java,,5,,2008-04-01
File,CategoryLineAnnotation.java,,19,,2008-04-01
File,CategoryLineAnnotationTests.java,,6,,2008-04-01
File,CategoryMarker.java,,8,,2008-04-01
File,CategoryMarkerTests.java,,8,,2008-04-01
File,CategoryPlot.java,,167,,2008-04-01
File,CategoryPlotTests.java,,18,,2008-04-01
File,CategoryPointerAnnotation.java,,23,,2008-04-01
File,CategoryPointerAnnotationTests.java,,6,,2008-04-01
File,CategorySeriesHandler.java,,5,,2008-04-01
File,CategorySeriesLabelGenerator.java,,1,,2008-04-01
File,CategoryStepRenderer.java,,10,,2008-04-01
File,CategoryStepRendererTests.java,,6,,2008-04-01
File,CategoryTableXYDataset.java,,25,,2008-04-01
File,CategoryTableXYDatasetTests.java,,6,,2008-04-01
File,CategoryTextAnnotation.java,,11,,2008-04-01
File,CategoryTextAnnotationTests.java,,6,,2008-04-01
File,CategoryTick.java,,6,,2008-04-01
File,CategoryTickTests.java,,6,,2008-04-01
File,CategoryToPieDataset.java,,12,,2008-04-01
File,CategoryToPieDatasetTests.java,,8,,2008-04-01
File,CategoryToolTipGenerator.java,,1,,2008-04-01
File,CategoryURLGenerator.java,,1,,2008-04-01
File,CenterArrangement.java,,13,,2008-04-01
File,ChartChangeEvent.java,,7,,2008-04-01
File,ChartChangeEventType.java,,5,,2008-04-01
File,ChartChangeListener.java,,1,,2008-04-01
File,ChartColor.java,,2,,2008-04-01
File,ChartComposite.java,,64,,2008-04-01
File,ChartDeleter.java,,5,,2008-04-01
File,ChartEditor.java,,1,,2008-04-01
File,ChartEditorFactory.java,,1,,2008-04-01
File,ChartEditorManager.java,,4,,2008-04-01
File,ChartEntity.java,,20,,2008-04-01
File,ChartFactory.java,,38,,2008-04-01
File,ChartFrame.java,,3,,2008-04-01
