FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.chart.annotations.CategoryAnnotation.csv,0.0,NaN,4.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.annotations.CategoryTextAnnotation.csv,59.0,62.23877892318057,106.0,129.76279596557166,22.0,27.59914074926278,40.0,44.03275027575234,
org.jfree.chart.annotations.TextAnnotation.csv,81.0,82.61057705448074,123.0,145.94397194097303,30.0,36.310266488903885,29.0,31.50986439698111,
org.jfree.chart.annotations.XYAnnotation.csv,0.0,NaN,6.0,6.965255389056651,1.0,NaN,1.0,NaN,
org.jfree.chart.annotations.XYDrawableAnnotation.csv,47.0,43.55119281744328,105.0,111.41160204272583,17.0,19.595365221692727,27.0,30.40242773133798,
org.jfree.chart.annotations.XYLineAnnotation.csv,53.0,78.74178714726304,133.0,184.353621366288,23.0,31.955649006665634,29.0,35.549693202192785,
org.jfree.chart.annotations.XYPointerAnnotation.csv,82.0,83.4840096955346,205.0,226.77239127050834,38.0,43.288337564413666,67.0,72.14630177910341,
org.jfree.chart.annotations.XYTextAnnotation.csv,84.0,106.87304689973021,189.0,248.37183676529105,42.0,54.073744710185935,44.0,50.173299123408924,
org.jfree.chart.axis.Axis.csv,95.0,95.81808695685021,556.0,585.9350183271057,125.0,125.96422099084086,76.0,72.44906340284825,
org.jfree.chart.axis.AxisLocation.csv,69.0,65.12227987896738,71.0,86.27108093682946,18.0,21.30844020701882,18.0,18.497757891272713,
org.jfree.chart.axis.AxisSpace.csv,49.0,51.623985377830486,181.0,188.61058167631543,44.0,46.149349711820925,31.0,31.500113253471643,
org.jfree.chart.axis.CategoryAnchor.csv,70.0,69.97230145277989,41.0,45.008417609847825,10.0,10.848438288782976,16.0,16.212109572195743,
org.jfree.chart.axis.CategoryAxis.csv,91.0,93.51519530328612,644.0,739.4268780127138,127.0,145.4834771470188,125.0,131.67741611208382,
org.jfree.chart.axis.CategoryAxis3D.csv,100.0,136.91105003604375,86.0,105.18594508961638,15.0,16.93225913399706,130.0,129.10644415527614,
org.jfree.chart.axis.ColorBar.csv,79.0,79.94775261263861,212.0,228.24789459831035,40.0,41.76316299685624,29.0,29.377076970313276,
org.jfree.chart.axis.DateAxis.csv,92.0,92.94531727357231,1039.0,1152.272344612988,161.0,169.07404394674168,197.0,208.23890520147503,
org.jfree.chart.axis.DateAxis.DefaultTimeline.csv,0.0,NaN,35.0,37.404238988957864,11.0,11.80141299631931,20.0,20.20035324907983,
org.jfree.chart.axis.DateTickMarkPosition.csv,70.0,64.95518134654097,41.0,47.35598850523468,10.0,12.051109236526086,16.0,16.512777309131522,
org.jfree.chart.axis.DateTickUnit.csv,85.0,87.63918635991408,153.0,183.71706109210194,40.0,43.88967170319649,39.0,40.878795534663794,
org.jfree.chart.axis.junit.AxisPackageTests.csv,0.0,NaN,47.0,56.36680374183378,3.0,3.3766404871000066,15.0,15.376640487100007,
org.jfree.chart.axis.junit.DateAxisTests.csv,0.0,NaN,749.0,783.6691514496664,27.0,30.504931936902153,37.0,39.80723057212426,
org.jfree.chart.axis.junit.DateTickUnitTests.csv,0.0,NaN,39.0,46.78639294047286,6.0,7.0353701316554345,17.0,18.035370131655434,
org.jfree.chart.axis.LogarithmicAxis.csv,86.0,87.1671690067635,547.0,591.6369177193236,114.0,118.75659727020293,212.0,213.78461839826087,
org.jfree.chart.axis.MarkerAxisBand.csv,50.0,52.84929416798397,122.0,131.88077883942952,18.0,20.123760733736862,19.0,19.237441180665314,
org.jfree.chart.axis.NumberAxis.csv,93.0,93.93943823916784,751.0,780.7337983629676,109.0,113.04538685833654,184.0,195.8697598930212,
org.jfree.chart.axis.NumberAxis3D.csv,100.0,129.08697263065585,48.0,37.69555790282084,8.0,4.470450404885118,187.0,187.62516570522126,
org.jfree.chart.axis.NumberTickUnit.csv,64.0,76.96905562188702,50.0,59.320001214029475,14.0,17.071682299371247,27.0,27.73219250248201,
org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange.csv,94.0,NaN,640.0,680.5809839597018,84.0,86.38468412719276,57.0,58.803696753285905,
org.jfree.chart.axis.SegmentedTimeline.csv,0.0,NaN,5.0,5.308435372015553,1.0,NaN,48.0,48.17276321034885,
org.jfree.chart.axis.SegmentedTimeline.Segment.csv,68.0,67.51568409283792,151.0,156.199313010125,37.0,37.599440831529066,41.0,41.38904113525145,
org.jfree.chart.axis.SegmentedTimeline.SegmentRange.csv,66.0,NaN,49.0,49.27881279124043,11.0,10.772901223824167,47.0,47.40936001740237,
org.jfree.chart.axis.Tick.csv,67.0,65.90740640861759,63.0,74.62684184742896,16.0,19.858699677149676,20.0,21.03895321637063,
org.jfree.chart.axis.TickUnit.csv,62.0,80.56539531931267,59.0,60.628484348947985,16.0,16.708714724519197,20.0,20.328487101401194,
org.jfree.chart.axis.TickUnits.csv,55.0,50.19140633504309,61.0,42.80414215695388,14.0,17.437553609978053,21.0,22.147554093288235,
org.jfree.chart.axis.Timeline.csv,0.0,NaN,9.0,NaN,7.0,NaN,7.0,NaN,
org.jfree.chart.axis.ValueAxis.csv,95.0,94.84182116309574,714.0,914.0573777820026,161.0,201.04928893566301,146.0,154.4780717234037,
org.jfree.chart.ChartColor.csv,50.0,NaN,67.0,66.93949358030008,2.0,NaN,50.0,NaN,
org.jfree.chart.ChartFactory.csv,0.0,NaN,1132.0,1270.819183566193,156.0,178.42078924321916,52.0,53.56015859398676,
org.jfree.chart.ChartFrame.csv,33.0,NaN,20.0,NaN,4.0,NaN,725.0,NaN,
org.jfree.chart.ChartMouseEvent.csv,62.0,67.11153606545282,22.0,23.392437371722288,4.0,NaN,19.0,20.621544082440185,
org.jfree.chart.ChartMouseListener.csv,0.0,NaN,4.0,NaN,2.0,NaN,2.0,NaN,
org.jfree.chart.ChartPanel.csv,96.0,97.00720549354944,1215.0,1371.8741860262521,226.0,245.5089032792481,800.0,811.6543238624747,
org.jfree.chart.ChartRenderingInfo.csv,62.0,65.05124494931856,75.0,87.10464656531832,20.0,23.235046444733037,24.0,25.204204166463256,
org.jfree.chart.ChartUtilities.csv,0.0,-26.875131392365528,246.0,286.4521090997073,44.0,51.548142312031146,39.0,40.26685495308208,
org.jfree.chart.ClipPath.csv,80.0,NaN,155.0,163.29710685286514,32.0,32.51347259197402,37.0,37.51347259197402,
org.jfree.chart.DrawableLegendItem.csv,86.0,87.77412190363144,64.0,70.74083463297505,17.0,18.860165509850965,29.0,30.860165509850965,
org.jfree.chart.Effect3D.csv,0.0,NaN,4.0,NaN,2.0,NaN,2.0,NaN,
org.jfree.chart.entity.CategoryItemEntity.csv,66.0,70.65417973536483,111.0,120.14914196662971,27.0,30.199863239492647,48.0,50.5335840389971,
org.jfree.chart.entity.ChartEntity.csv,73.0,75.27039099419457,170.0,204.53140830134643,41.0,49.98595785915512,32.0,34.24208851714629,
org.jfree.chart.entity.ContourEntity.csv,75.0,86.97912399270233,33.0,43.51207402089695,9.0,11.985545031712737,38.0,41.418717095525594,
org.jfree.chart.entity.EntityCollection.csv,0.0,NaN,10.0,12.215340139091419,8.0,10.215340139091419,8.0,10.215340139091419,
org.jfree.chart.entity.LegendItemEntity.csv,72.0,86.095023925133,54.0,63.68402170808799,15.0,17.859346592708597,42.0,45.672155346016666,
org.jfree.chart.entity.PieSectionEntity.csv,65.0,69.6365568017748,75.0,69.76030695577126,18.0,16.51114048558933,44.0,45.465722103510096,
org.jfree.chart.entity.StandardEntityCollection.csv,50.0,74.17171355364378,62.0,78.91497983903719,17.0,22.270862566908715,23.0,26.592665482287828,
org.jfree.chart.entity.XYItemEntity.csv,69.0,79.89474985348599,52.0,62.891547703078906,13.0,16.38319059757606,41.0,44.13275700241415,
org.jfree.chart.event.AxisChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.AxisChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.ChartChangeEvent.csv,57.0,54.49292864798222,28.0,27.74929286479825,7.0,NaN,22.0,NaN,
org.jfree.chart.event.ChartChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.ChartProgressEvent.csv,77.0,NaN,31.0,31.465757523262962,7.0,NaN,22.0,NaN,
org.jfree.chart.event.ChartProgressListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.PlotChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.PlotChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.TitleChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.TitleChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.JFreeChart.csv,92.0,93.56324372818494,698.0,809.473246004851,158.0,178.99319595968217,82.0,87.34234900033795,
org.jfree.chart.JFreeChartInfo.csv,0.0,NaN,127.0,132.79285339461802,4.0,NaN,14.0,NaN,
org.jfree.chart.junit.ChartPackageTests.csv,0.0,NaN,35.0,33.39580011232833,1.0,0.5040234772085732,13.0,12.504023477208573,
org.jfree.chart.junit.JFreeChartTests.csv,84.0,94.24736640908812,348.0,378.1702147944224,26.0,26.3873744193898,28.0,28.3045233031204,
org.jfree.chart.junit.JFreeChartTestSuite.csv,0.0,NaN,30.0,35.10441116822221,2.0,1.922778897888687,14.0,13.922778897888687,
org.jfree.chart.junit.PieChartTests.csv,60.0,NaN,38.0,38.17623465212104,5.0,NaN,17.0,NaN,
org.jfree.chart.junit.PieChartTests.LocalListener.csv,0.0,NaN,5.0,NaN,1.0,NaN,13.0,NaN,
org.jfree.chart.junit.ScatterPlotTests.csv,42.0,40.9881416936626,78.0,80.13423826227105,8.0,8.126482288292175,19.0,19.126482288292177,
org.jfree.chart.junit.ScatterPlotTests.LocalListener.csv,0.0,NaN,5.0,NaN,1.0,NaN,13.0,NaN,
org.jfree.chart.labels.ContourToolTipGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.labels.CustomXYToolTipGenerator.csv,68.0,77.69513142503088,68.0,71.72509713698776,18.0,18.070876418680864,20.0,20.208636849195408,
org.jfree.chart.labels.StandardContourToolTipGenerator.csv,50.0,58.068246323571834,47.0,46.86483078869676,7.0,6.609685541405501,14.0,NaN,
org.jfree.chart.labels.XYToolTipGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.LegendItem.csv,90.0,102.28528647711818,422.0,561.4443337689271,89.0,111.18462898773278,60.0,68.53284490996415,
org.jfree.chart.LegendItemCollection.csv,50.0,76.16053581372066,40.0,45.89508011605902,11.0,13.048868044948522,20.0,20.81954721797941,
org.jfree.chart.needle.ArrowNeedle.csv,60.0,80.74182841515277,68.0,76.36059151416907,12.0,14.526257969495083,43.0,44.901616135014606,
org.jfree.chart.needle.LineNeedle.csv,100.0,136.38406280549833,31.0,39.50378428759523,7.0,9.500940333723058,42.0,43.81061230199363,
