Kind,Name,CountClassCoupled,PercentLackOfCohesion,CountDeclMethod,Date
File,AbstractBlock.java,,,39,2008-06-09
File,AbstractBlockTests.java,,,5,2008-06-09
File,AbstractCategoryItemLabelGenerator.java,,,13,2008-06-09
File,AbstractCategoryItemRenderer.java,,,52,2008-06-09
File,AbstractCategoryItemRendererTests.java,,,7,2008-06-09
File,AbstractDataset.java,,,12,2008-06-09
File,AbstractDialLayer.java,,,11,2008-06-09
File,AbstractDialLayerTests.java,,,5,2008-06-09
File,AbstractIntervalXYDataset.java,,,4,2008-06-09
File,AbstractPieItemLabelGenerator.java,,,9,2008-06-09
File,AbstractPieLabelDistributor.java,,,6,2008-06-09
File,AbstractRenderer.java,,,170,2008-06-09
File,AbstractRendererTests.java,,,24,2008-06-09
File,AbstractSeriesDataset.java,,,5,2008-06-09
File,AbstractXYAnnotation.java,,,9,2008-06-09
File,AbstractXYDataset.java,,,3,2008-06-09
File,AbstractXYItemLabelGenerator.java,,,16,2008-06-09
File,AbstractXYItemRenderer.java,,,55,2008-06-09
File,AbstractXYItemRendererTests.java,,,8,2008-06-09
File,AbstractXYZDataset.java,,,1,2008-06-09
File,AnnotationsPackageTests.java,,,3,2008-06-09
File,ArcDialFrame.java,,,25,2008-06-09
File,ArcDialFrameTests.java,,,6,2008-06-09
File,AreaChartTests.java,,,9,2008-06-09
File,AreaRenderer.java,,,7,2008-06-09
File,AreaRendererEndType.java,,,4,2008-06-09
File,AreaRendererEndTypeTests.java,,,4,2008-06-09
File,AreaRendererTests.java,,,8,2008-06-09
File,Arrangement.java,,,3,2008-06-09
File,ArrowNeedle.java,,,5,2008-06-09
File,ArrowNeedleTests.java,,,5,2008-06-09
File,Axis.java,,,57,2008-06-09
File,AxisChangeEvent.java,,,2,2008-06-09
File,AxisChangeListener.java,,,1,2008-06-09
File,AxisCollection.java,,,6,2008-06-09
File,AxisLocation.java,,,6,2008-06-09
File,AxisLocationTests.java,,,5,2008-06-09
File,AxisPackageTests.java,,,3,2008-06-09
File,AxisSpace.java,,,19,2008-06-09
File,AxisSpaceTests.java,,,5,2008-06-09
File,AxisState.java,,,13,2008-06-09
File,AxisTests.java,,,5,2008-06-09
File,BarChart3DTests.java,,,9,2008-06-09
File,BarChartDemo1.java,,,4,2008-06-09
File,BarChartTests.java,,,9,2008-06-09
File,BarRenderer.java,,,33,2008-06-09
File,BarRenderer3D.java,,,16,2008-06-09
File,BarRenderer3DTests.java,,,7,2008-06-09
File,BarRendererTests.java,,,10,2008-06-09
File,Block.java,,,7,2008-06-09
File,BlockBorder.java,,,11,2008-06-09
File,BlockBorderTests.java,,,5,2008-06-09
File,BlockContainer.java,,,14,2008-06-09
File,BlockContainerTests.java,,,5,2008-06-09
File,BlockFrame.java,,,2,2008-06-09
File,BlockPackageTests.java,,,3,2008-06-09
File,BlockParams.java,,,7,2008-06-09
File,BlockResult.java,,,3,2008-06-09
File,BorderArrangement.java,,,10,2008-06-09
File,BorderArrangementTests.java,,,8,2008-06-09
File,BoxAndWhiskerCalculator.java,,,4,2008-06-09
File,BoxAndWhiskerCalculatorTests.java,,,6,2008-06-09
File,BoxAndWhiskerCategoryDataset.java,,,18,2008-06-09
File,BoxAndWhiskerItem.java,,,13,2008-06-09
File,BoxAndWhiskerItemTests.java,,,4,2008-06-09
File,BoxAndWhiskerRenderer.java,,,21,2008-06-09
File,BoxAndWhiskerRendererTests.java,,,24,2008-06-09
File,BoxAndWhiskerToolTipGenerator.java,,,4,2008-06-09
File,BoxAndWhiskerToolTipGeneratorTests.java,,,7,2008-06-09
File,BoxAndWhiskerXYDataset.java,,,11,2008-06-09
File,BoxAndWhiskerXYToolTipGenerator.java,,,4,2008-06-09
File,BoxAndWhiskerXYToolTipGeneratorTests.java,,,7,2008-06-09
File,BubbleXYItemLabelGenerator.java,,,10,2008-06-09
File,BubbleXYItemLabelGeneratorTests.java,,,8,2008-06-09
File,CSV.java,,,6,2008-06-09
File,CandlestickRenderer.java,,,31,2008-06-09
File,CandlestickRendererTests.java,,,9,2008-06-09
