Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,Date
File,AbstractAnnotation.java,,11,,2014-07-31
File,AbstractBlock.java,,39,,2014-07-31
File,AbstractBlockTest.java,,3,,2014-07-31
File,AbstractCategoryItemLabelGenerator.java,,13,,2014-07-31
File,AbstractCategoryItemRenderer.java,,57,,2014-07-31
File,AbstractCategoryItemRendererTest.java,,11,,2014-07-31
File,AbstractDataset.java,,14,,2014-07-31
File,AbstractDialLayer.java,,11,,2014-07-31
File,AbstractDialLayerTest.java,,3,,2014-07-31
File,AbstractIntervalXYDataset.java,,4,,2014-07-31
File,AbstractMouseHandlerFX.java,,11,,2014-07-31
File,AbstractOverlay.java,,5,,2014-07-31
File,AbstractPieItemLabelGenerator.java,,9,,2014-07-31
File,AbstractPieLabelDistributor.java,,6,,2014-07-31
File,AbstractRenderer.java,,193,,2014-07-31
File,AbstractRendererTest.java,,28,,2014-07-31
File,AbstractSeriesDataset.java,,5,,2014-07-31
File,AbstractXYAnnotation.java,,9,,2014-07-31
File,AbstractXYDataset.java,,3,,2014-07-31
File,AbstractXYItemLabelGenerator.java,,16,,2014-07-31
File,AbstractXYItemRenderer.java,,59,,2014-07-31
File,AbstractXYItemRendererTest.java,,8,,2014-07-31
File,AbstractXYZDataset.java,,1,,2014-07-31
File,AnchorHandlerFX.java,,3,,2014-07-31
File,Annotation.java,,2,,2014-07-31
File,AnnotationChangeEvent.java,,2,,2014-07-31
File,AnnotationChangeListener.java,,1,,2014-07-31
File,ArcDialFrame.java,,25,,2014-07-31
File,ArcDialFrameTest.java,,4,,2014-07-31
File,AreaChartTest.java,,7,,2014-07-31
File,AreaRenderer.java,,7,,2014-07-31
File,AreaRendererEndType.java,,4,,2014-07-31
File,AreaRendererEndTypeTest.java,,2,,2014-07-31
File,AreaRendererTest.java,,6,,2014-07-31
File,Arrangement.java,,3,,2014-07-31
File,ArrowNeedle.java,,5,,2014-07-31
File,ArrowNeedleTest.java,,3,,2014-07-31
File,AttrStringUtils.java,,16,,2014-07-31
File,Axis.java,,77,,2014-07-31
File,AxisChangeEvent.java,,2,,2014-07-31
File,AxisChangeListener.java,,1,,2014-07-31
File,AxisCollection.java,,6,,2014-07-31
File,AxisEntity.java,,10,,2014-07-31
File,AxisLabelLocation.java,,5,,2014-07-31
File,AxisLocation.java,,7,,2014-07-31
File,AxisLocationTest.java,,3,,2014-07-31
File,AxisSpace.java,,19,,2014-07-31
File,AxisSpaceTest.java,,3,,2014-07-31
File,AxisState.java,,13,,2014-07-31
File,AxisTest.java,,4,,2014-07-31
File,BarChart3DTest.java,,7,,2014-07-31
File,BarChartDemo1.java,,4,,2014-07-31
File,BarChartFXDemo1.java,,6,,2014-07-31
File,BarChartTest.java,,7,,2014-07-31
File,BarPainter.java,,2,,2014-07-31
File,BarRenderer.java,,49,,2014-07-31
File,BarRenderer3D.java,,17,,2014-07-31
File,BarRenderer3DTest.java,,5,,2014-07-31
File,BarRendererTest.java,,9,,2014-07-31
File,Block.java,,7,,2014-07-31
File,BlockBorder.java,,11,,2014-07-31
File,BlockBorderTest.java,,3,,2014-07-31
File,BlockContainer.java,,14,,2014-07-31
File,BlockContainerTest.java,,3,,2014-07-31
File,BlockFrame.java,,2,,2014-07-31
File,BlockParams.java,,7,,2014-07-31
File,BlockResult.java,,3,,2014-07-31
File,BorderArrangement.java,,10,,2014-07-31
File,BorderArrangementTest.java,,6,,2014-07-31
File,BoxAndWhiskerCalculator.java,,4,,2014-07-31
File,BoxAndWhiskerCalculatorTest.java,,4,,2014-07-31
File,BoxAndWhiskerCategoryDataset.java,,18,,2014-07-31
File,BoxAndWhiskerItem.java,,13,,2014-07-31
File,BoxAndWhiskerItemTest.java,,2,,2014-07-31
File,BoxAndWhiskerRenderer.java,,30,,2014-07-31
File,BoxAndWhiskerRendererTest.java,,22,,2014-07-31
