Fortified,Dry-white,Sweet-white,Red,Rose,Sparkling,Date
2585,1954,85,464,112,1686,1
3368,2302,89,675,118,1591,2
3210,3054,109,703,129,2304,3
3111,2414,95,887,99,1712,4
3756,2226,91,1139,116,1471,5
4216,2725,95,1077,168,1377,6
5225,2589,96,1318,118,1966,7
4426,3470,128,1260,129,2453,8
3932,2400,124,1120,205,1984,9
3816,3180,111,963,147,2596,10
3661,4009,178,996,150,4087,11
3795,3924,140,960,267,5179,12
2285,2072,150,530,126,1530,13
2934,2434,132,883,129,1523,14
2985,2956,155,894,124,1633,15
3646,2828,132,1045,97,1976,16
4198,2687,91,1199,102,1170,17
4935,2629,94,1287,127,1480,18
5618,3150,109,1565,222,1781,19
5454,4119,155,1577,214,2472,20
3624,3030,123,1076,118,1981,21
2898,3055,130,918,141,2273,22
3802,3821,150,1008,154,3857,23
2369,4001,163,1063,226,4551,24
2369,2529,101,544,89,1510,25
2511,2472,123,635,77,1329,26
3079,3134,127,804,82,1518,27
3728,2789,112,980,97,1790,28
4151,2758,108,1018,127,1537,29
4326,2993,116,1064,121,1449,30
5054,3282,153,1404,117,1954,31
5138,3437,163,1286,117,1897,32
3310,2804,128,1104,106,1706,33
3508,3076,142,999,112,2514,34
3790,3782,170,996,134,3593,35
3446,3889,214,1015,169,4524,36
2127,2271,134,615,75,1609,37
2523,2452,122,722,108,1638,38
3017,3084,142,832,115,2030,39
3265,2522,156,977,85,1375,40
3822,2769,145,1270,101,1320,41
4027,3438,169,1437,108,1245,42
4420,2839,134,1520,109,1600,43
5255,3746,165,1708,124,2298,44
4009,2632,156,1151,105,2191,45
3074,2851,111,934,95,2511,46
3465,3871,165,1159,135,3440,47
3718,3618,197,1209,164,4923,48
1954,2389,124,699,88,1609,49
2604,2344,124,830,85,1435,50
3626,2678,139,996,112,2061,51
2836,2492,137,1124,87,1789,52
4042,2858,127,1458,91,1567,53
3584,2246,134,1270,87,1404,54
4225,2800,136,1753,87,1597,55
4523,3869,171,2258,142,3159,56
2892,3007,112,1208,95,1759,57
2876,3023,110,1241,108,2504,58
3420,3907,147,1265,139,4273,59
3159,4209,196,1828,159,5274,60
2101,2353,112,809,61,1771,61
2181,2570,118,997,82,1682,62
2724,2903,125,1164,124,1846,63
2954,2910,122,1205,93,1589,64
